key_mlbam,name,metric,age,value,n_comparables,n_with_next_season,projected_value_mean,projected_value_p25,projected_value_p75
680694,Kyle Bradish,K9,29,9.026392961876832,25.0,18.0,9.008277789387229,8.266771278797076,9.674640979913647
680694,Kyle Bradish,BB9,29,4.038123167155425,25.0,16.0,3.7137858877884513,3.501603498542274,3.991133188661332
680694,Kyle Bradish,HR9,29,0.9501466275659823,,,0.9357724173002931,0.9357724173002931,0.9357724173002931
680694,Kyle Bradish,FIP,29,3.8653958944281523,25.0,20.0,4.104505491406104,3.795470219435737,4.352431274017145
680732,Sean Burke,K9,26,10.441988950276242,25.0,17.0,10.079299402601416,9.246043165467626,11.017632241813601
680732,Sean Burke,BB9,26,2.7596685082872927,25.0,21.0,2.760884505313117,2.240174672489083,3.245192307692308
680732,Sean Burke,HR9,26,0.9696132596685082,,,0.9096813830315499,0.9096813830315499,0.9096813830315499
680732,Sean Burke,FIP,26,3.2988950276243094,25.0,20.0,3.8682998931630266,3.5561844863731658,4.2243221125659565
680736,Justin Wrobleski,K9,25,7.0329341317365275,25.0,18.0,6.592652632979673,5.696815332003419,7.220242384539797
680736,Justin Wrobleski,BB9,25,1.6976047904191618,25.0,24.0,2.4119191913524762,1.8264826994566772,2.9770369433198383
680736,Justin Wrobleski,HR9,25,0.9700598802395209,,,0.934354117081053,0.934354117081053,0.934354117081053
680736,Justin Wrobleski,FIP,25,3.6119760479041916,25.0,18.0,3.8387918078112913,3.4367082061889453,4.272421421151849
681035,Christian Scott,K9,27,11.08695652173913,25.0,19.0,9.615349663994243,9.185691990011525,10.489795498920975
681035,Christian Scott,BB9,27,3.9130434782608696,25.0,12.0,3.686962691337341,3.4109573007054124,4.0008537775299695
681035,Christian Scott,HR9,27,0.9130434782608695,,,0.8644556051722323,0.8644556051722323,0.8644556051722323
681035,Christian Scott,FIP,27,3.4768115942028985,25.0,18.0,3.8385277921689767,3.404131792386826,4.01162133631396
681190,Randy Vásquez,K9,27,6.352941176470588,25.0,19.0,6.5774925985678045,5.897545161684949,7.26815102548995
681190,Randy Vásquez,BB9,27,2.878676470588235,25.0,17.0,2.748199420878418,2.282608695652174,3.3145780051150893
681190,Randy Vásquez,HR9,27,1.3897058823529411,,,1.0970215702030848,1.0970215702030848,1.0970215702030848
681190,Randy Vásquez,FIP,27,4.7875,25.0,18.0,4.4027268158991495,4.104459203036053,4.678706694662036
681293,Spencer Arrighetti,K9,26,9.24803149606299,25.0,20.0,8.979663349478065,7.686914042668412,10.54125
681293,Spencer Arrighetti,BB9,26,5.314960629921259,25.0,14.0,4.843865468956919,4.3084153955880335,5.299253731343284
681293,Spencer Arrighetti,HR9,26,1.2755905511811023,,,0.9926991243251992,0.9926991243251992,0.9926991243251992
